id,name,lat,lng
0,Planta,29.114422977433104,-110.9125764309198
1,Girasol,29.102622420237612,-110.99291392051327
2,Dila,29.11597058609762,-110.95274515982837
3,Progreso,29.147009621422217,-110.96613474672334
4,Kino,29.099198883299785,-110.93907176812294
5,Navarrete,29.090022563231717,-110.98673411117714
6,Matamoros,29.086417637050094,-110.95315218673993
7,Perisur,29.039157478113268,-110.95326014393972
8,VadodelRío,29.069413594886132,-110.96146325761836
9,Veracruz,29.094213855640543,-110.96031377896753
10,Solidaridad,29.14506058583487,-110.99703379340404
11,Juárez,29.118679139547233,-110.95313985784621
12,Nayarit,29.095974777766358,-110.96493314890654
13,QuintaEmilia,29.093274888310468,-111.02186814634184
14,Olivares,29.091474715286314,-110.97729276757882
15,PaloVerde,29.046913488941538,-110.9623582283498
16,Colosio,29.081060709437928,-110.96856781746713
17,Reforma,29.07727113851254,-110.96561976261198
18,Morelos,29.120169650975047,-110.95120020749432
19,Ganaderos,29.052015750489055,-110.93369077948495
20,Quiroga,29.098272643889157,-111.02312632171218
21,ECA,29.084274206270628,-110.96424650342475
22,LasPalmas,29.082221879088905,-110.98261423828639
23,Moritas,29.083674141129805,-110.96175741355324
24,GarcíaMorales,29.095524780368667,-110.99428724325321
25,PlazaRío,29.06847445084769,-110.99026392988334
26,LuisEncinas,29.093913592252306,-110.974205
27,SanBenito,29.09706358202666,-110.97420285060176
28,GasparLuken,29.121814,-111.030934
29,Revolución,29.096193,-110.95053
30,UVM,29.1493258930841,-110.90695266152049
31,PlazaPatio,29.037874239113048,-110.93888167642389
32,GrandKino,29.09808475242675,-110.93783624729765
33,Teleperformance,29.082822724999463,-110.95298918611944
34,PlazaTecMonterrey,29.172644264968284,-110.91161879584139
35,CaminodelSeri,29.064959174329754,-110.98261425775371
36,Revolución,29.0981135572016,-110.9513718883321
37,GasparLuken,29.1243594556295,-111.03102276422015
38,ValledelMarquéz,29.024193482413065,-110.94744409870444
39,NuevoProgreso,29.145877119209047,-110.96117402501552
40,CentralHMO,29.08315767298182,-110.92891640868777
